id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,status,price,listingType,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,squareFootage,yearBuilt,mlsName,mlsNumber,listingAgent,listingOffice,lotSize,hoa
"278-Watchung-Ave-Apt-A,-Orange,-NJ-07050","278 Watchung Ave Apt A, Orange, NJ 07050",278 Watchung Ave Apt A,,Orange,NJ,07050,Essex,40.783192,-74.229019,Apartment,0.0,1.0,Active,1220,Standard,2025-08-04T00:00:00.000Z,,2025-04-06T00:00:00.000Z,2025-08-04T03:12:23.938Z,1,,,,,,,,
"33-Schuyler-Trl,-East-Orange,-NJ-07017","33 Schuyler Trl, East Orange, NJ 07017",33 Schuyler Trl,,East Orange,NJ,07017,Essex,40.776871,-74.220413,Single Family,2.0,1.0,Active,2100,Standard,2025-08-04T00:00:00.000Z,,2025-08-04T00:00:00.000Z,2025-08-04T03:12:23.932Z,1,900.0,,,,,,,
"557-S-Orange-Ave,-South-Orange,-NJ-07079","557 S Orange Ave, South Orange, NJ 07079",557 S Orange Ave,,South Orange,NJ,07079,Essex,40.746152,-74.241698,Single Family,5.0,2.5,Active,5400,Standard,2025-08-04T00:00:00.000Z,,2025-06-18T00:00:00.000Z,2025-08-04T03:08:36.873Z,1,2400.0,,,,,,,
"229-Alexander-St,-Apt-2,-Newark,-NJ-07106","229 Alexander St, Apt 2, Newark, NJ 07106",229 Alexander St,Apt 2,Newark,NJ,07106,Essex,40.738106,-74.228371,Single Family,4.0,1.0,Active,2350,Standard,2025-08-04T00:00:00.000Z,,2023-04-21T00:00:00.000Z,2025-08-04T03:08:36.866Z,1,1800.0,,,,,,,
"390-Stuyvesant-Ave,-Units-1-&-14,-Irvington,-NJ-07111","390 Stuyvesant Ave, Units 1 & 14, Irvington, NJ 07111",390 Stuyvesant Ave,Units 1 & 14,Irvington,NJ,07111,Essex,40.733089,-74.234665,Single Family,0.0,1.0,Active,1195,Standard,2025-08-04T00:00:00.000Z,,2025-07-30T00:00:00.000Z,2025-08-04T03:08:36.865Z,1,,,,,,,,
"345-S-Clinton-St,-Unit-1R,-East-Orange,-NJ-07018","345 S Clinton St, Unit 1R, East Orange, NJ 07018",345 S Clinton St,Unit 1R,East Orange,NJ,07018,Essex,40.754025,-74.223022,Single Family,2.0,2.0,Active,2100,Standard,2025-08-04T00:00:00.000Z,,2025-06-20T00:00:00.000Z,2025-08-04T03:08:36.864Z,1,900.0,,,,,,,
"115-W-End-Ave,-Unit-3-3,-Newark,-NJ-07106","115 W End Ave, Unit 3-3, Newark, NJ 07106",115 W End Ave,Unit 3-3,Newark,NJ,07106,Essex,40.741669,-74.224442,Condo,2.0,1.0,Active,1950,Standard,2025-08-04T00:00:00.000Z,,2025-08-04T00:00:00.000Z,2025-08-04T03:08:36.853Z,1,,,,,,,,
"38-S-Walnut-St,-Unit-32-32,-East-Orange,-NJ-07018","38 S Walnut St, Unit 32-32, East Orange, NJ 07018",38 S Walnut St,Unit 32-32,East Orange,NJ,07018,Essex,40.76133,-74.213913,Condo,1.0,1.0,Active,1650,Standard,2025-08-04T00:00:00.000Z,,2025-08-01T00:00:00.000Z,2025-08-04T03:08:36.851Z,1,,,,,,,,
"108-Pine-St,-Apt-1,-Montclair,-NJ-07042","108 Pine St, Apt 1, Montclair, NJ 07042",108 Pine St,Apt 1,Montclair,NJ,07042,Essex,40.811684,-74.20784,Apartment,1.0,1.0,Active,1970,Standard,2025-08-04T00:00:00.000Z,,2025-07-10T00:00:00.000Z,2025-08-04T03:08:36.848Z,1,700.0,,,,,,,
"Highland-2-Bed-Ave,-Unit-416,-Orange,-NJ-07050","Highland-2 Bed Ave, Unit 416, Orange, NJ 07050",Highland-2 Bed Ave,Unit 416,Orange,NJ,07050,Essex,40.764179,-74.2412946,Condo,2.0,2.0,Active,2650,Standard,2025-08-04T00:00:00.000Z,,2024-08-14T00:00:00.000Z,2025-08-04T03:08:36.847Z,1,923.0,,,,,,,
